,Name,Prabhag,SeatDesignation,Party,Election_type,Round,Votes
0,Abhijit Jagtap,prabhag 1,,SS-UBT,Nagaradhyaksha,1,24
1,Abhijit Jagtap,prabhag 2,,SS-UBT,Nagaradhyaksha,1,16
2,Abhijit Jagtap,prabhag 3,,SS-UBT,Nagaradhyaksha,1,13
3,Abhijit Jagtap,prabhag 4,,SS-UBT,Nagaradhyaksha,1,6
4,Abhijit Jagtap,prabhag 5,,SS-UBT,Nagaradhyaksha,1,7
5,Abhijit Jagtap,prabhag 6,,SS-UBT,Nagaradhyaksha,1,26
6,Abhijit Jagtap,prabhag 7,,SS-UBT,Nagaradhyaksha,1,25
7,Abhijit Jagtap,prabhag 8,,SS-UBT,Nagaradhyaksha,1,18
8,Abhijit Jagtap,prabhag 9,,SS-UBT,Nagaradhyaksha,1,22
9,Abhijit Jagtap,prabhag 10,,SS-UBT,Nagaradhyaksha,1,45
10,Abhijit Jagtap,prabhag 11,,SS-UBT,Nagaradhyaksha,1,35
11,Abhijit Jagtap,prabhag 1,,SS-UBT,Nagaradhyaksha,2,22
12,Abhijit Jagtap,prabhag 2,,SS-UBT,Nagaradhyaksha,2,19
13,Abhijit Jagtap,prabhag 3,,SS-UBT,Nagaradhyaksha,2,11
14,Abhijit Jagtap,prabhag 4,,SS-UBT,Nagaradhyaksha,2,3
15,Abhijit Jagtap,prabhag 5,,SS-UBT,Nagaradhyaksha,2,7
16,Abhijit Jagtap,prabhag 6,,SS-UBT,Nagaradhyaksha,2,23
17,Abhijit Jagtap,prabhag 7,,SS-UBT,Nagaradhyaksha,2,19
18,Abhijit Jagtap,prabhag 8,,SS-UBT,Nagaradhyaksha,2,11
19,Abhijit Jagtap,prabhag 9,,SS-UBT,Nagaradhyaksha,2,22
20,Abhijit Jagtap,prabhag 10,,SS-UBT,Nagaradhyaksha,2,41
21,Abhijit Jagtap,prabhag 11,,SS-UBT,Nagaradhyaksha,2,17
22,Abhijit Jagtap,prabhag 1,,SS-UBT,Nagaradhyaksha,3,29
23,Abhijit Jagtap,prabhag 2,,SS-UBT,Nagaradhyaksha,3,
24,Abhijit Jagtap,prabhag 3,,SS-UBT,Nagaradhyaksha,3,6
25,Abhijit Jagtap,prabhag 4,,SS-UBT,Nagaradhyaksha,3,9
26,Abhijit Jagtap,prabhag 5,,SS-UBT,Nagaradhyaksha,3,8
27,Abhijit Jagtap,prabhag 6,,SS-UBT,Nagaradhyaksha,3,21
28,Abhijit Jagtap,prabhag 7,,SS-UBT,Nagaradhyaksha,3,18
29,Abhijit Jagtap,prabhag 8,,SS-UBT,Nagaradhyaksha,3,17
30,Abhijit Jagtap,prabhag 9,,SS-UBT,Nagaradhyaksha,3,
31,Abhijit Jagtap,prabhag 10,,SS-UBT,Nagaradhyaksha,3,42
32,Abhijit Jagtap,prabhag 11,,SS-UBT,Nagaradhyaksha,3,24
33,Abhijit Jagtap,prabhag 1,,SS-UBT,Nagaradhyaksha,4,
34,Abhijit Jagtap,prabhag 2,,SS-UBT,Nagaradhyaksha,4,
35,Abhijit Jagtap,prabhag 3,,SS-UBT,Nagaradhyaksha,4,
36,Abhijit Jagtap,prabhag 4,,SS-UBT,Nagaradhyaksha,4,7
37,Abhijit Jagtap,prabhag 5,,SS-UBT,Nagaradhyaksha,4,15
38,Abhijit Jagtap,prabhag 6,,SS-UBT,Nagaradhyaksha,4,26
39,Abhijit Jagtap,prabhag 7,,SS-UBT,Nagaradhyaksha,4,10
40,Abhijit Jagtap,prabhag 8,,SS-UBT,Nagaradhyaksha,4,
41,Abhijit Jagtap,prabhag 9,,SS-UBT,Nagaradhyaksha,4,
42,Abhijit Jagtap,prabhag 10,,SS-UBT,Nagaradhyaksha,4,
43,Abhijit Jagtap,prabhag 11,,SS-UBT,Nagaradhyaksha,4,18
44,Anandikaki Jagtap,prabhag 1,,BJP,Nagaradhyaksha,1,337
45,Anandikaki Jagtap,prabhag 2,,BJP,Nagaradhyaksha,1,341
46,Anandikaki Jagtap,prabhag 3,,BJP,Nagaradhyaksha,1,349
47,Anandikaki Jagtap,prabhag 4,,BJP,Nagaradhyaksha,1,775
48,Anandikaki Jagtap,prabhag 5,,BJP,Nagaradhyaksha,1,334
49,Anandikaki Jagtap,prabhag 6,,BJP,Nagaradhyaksha,1,344
50,Anandikaki Jagtap,prabhag 7,,BJP,Nagaradhyaksha,1,334
51,Anandikaki Jagtap,prabhag 8,,BJP,Nagaradhyaksha,1,282
52,Anandikaki Jagtap,prabhag 9,,BJP,Nagaradhyaksha,1,340
53,Anandikaki Jagtap,prabhag 10,,BJP,Nagaradhyaksha,1,317
54,Anandikaki Jagtap,prabhag 11,,BJP,Nagaradhyaksha,1,429
55,Anandikaki Jagtap,prabhag 1,,BJP,Nagaradhyaksha,2,314
56,Anandikaki Jagtap,prabhag 2,,BJP,Nagaradhyaksha,2,317
57,Anandikaki Jagtap,prabhag 3,,BJP,Nagaradhyaksha,2,257
58,Anandikaki Jagtap,prabhag 4,,BJP,Nagaradhyaksha,2,220
59,Anandikaki Jagtap,prabhag 5,,BJP,Nagaradhyaksha,2,264
60,Anandikaki Jagtap,prabhag 6,,BJP,Nagaradhyaksha,2,321
61,Anandikaki Jagtap,prabhag 7,,BJP,Nagaradhyaksha,2,301
62,Anandikaki Jagtap,prabhag 8,,BJP,Nagaradhyaksha,2,224
63,Anandikaki Jagtap,prabhag 9,,BJP,Nagaradhyaksha,2,350
64,Anandikaki Jagtap,prabhag 10,,BJP,Nagaradhyaksha,2,295
65,Anandikaki Jagtap,prabhag 11,,BJP,Nagaradhyaksha,2,360
66,Anandikaki Jagtap,prabhag 1,,BJP,Nagaradhyaksha,3,324
67,Anandikaki Jagtap,prabhag 2,,BJP,Nagaradhyaksha,3,
68,Anandikaki Jagtap,prabhag 3,,BJP,Nagaradhyaksha,3,324
69,Anandikaki Jagtap,prabhag 4,,BJP,Nagaradhyaksha,3,276
70,Anandikaki Jagtap,prabhag 5,,BJP,Nagaradhyaksha,3,223
71,Anandikaki Jagtap,prabhag 6,,BJP,Nagaradhyaksha,3,349
72,Anandikaki Jagtap,prabhag 7,,BJP,Nagaradhyaksha,3,319
73,Anandikaki Jagtap,prabhag 8,,BJP,Nagaradhyaksha,3,219
74,Anandikaki Jagtap,prabhag 9,,BJP,Nagaradhyaksha,3,
75,Anandikaki Jagtap,prabhag 10,,BJP,Nagaradhyaksha,3,343
76,Anandikaki Jagtap,prabhag 11,,BJP,Nagaradhyaksha,3,327
77,Anandikaki Jagtap,prabhag 1,,BJP,Nagaradhyaksha,4,
78,Anandikaki Jagtap,prabhag 2,,BJP,Nagaradhyaksha,4,
79,Anandikaki Jagtap,prabhag 3,,BJP,Nagaradhyaksha,4,
80,Anandikaki Jagtap,prabhag 4,,BJP,Nagaradhyaksha,4,204
81,Anandikaki Jagtap,prabhag 5,,BJP,Nagaradhyaksha,4,260
82,Anandikaki Jagtap,prabhag 6,,BJP,Nagaradhyaksha,4,413
83,Anandikaki Jagtap,prabhag 7,,BJP,Nagaradhyaksha,4,261
84,Anandikaki Jagtap,prabhag 8,,BJP,Nagaradhyaksha,4,
85,Anandikaki Jagtap,prabhag 9,,BJP,Nagaradhyaksha,4,
86,Anandikaki Jagtap,prabhag 10,,BJP,Nagaradhyaksha,4,
87,Anandikaki Jagtap,prabhag 11,,BJP,Nagaradhyaksha,4,115
88,Nikita Dhotre,prabhag 1,,,Nagaradhyaksha,1,4
89,Nikita Dhotre,prabhag 2,,,Nagaradhyaksha,1,3
90,Nikita Dhotre,prabhag 3,,,Nagaradhyaksha,1,4
91,Nikita Dhotre,prabhag 4,,,Nagaradhyaksha,1,1
92,Nikita Dhotre,prabhag 5,,,Nagaradhyaksha,1,2
93,Nikita Dhotre,prabhag 6,,,Nagaradhyaksha,1,0
94,Nikita Dhotre,prabhag 7,,,Nagaradhyaksha,1,0
95,Nikita Dhotre,prabhag 8,,,Nagaradhyaksha,1,8
96,Nikita Dhotre,prabhag 9,,,Nagaradhyaksha,1,1
97,Nikita Dhotre,prabhag 10,,,Nagaradhyaksha,1,3
98,Nikita Dhotre,prabhag 11,,,Nagaradhyaksha,1,5
99,Nikita Dhotre,prabhag 1,,,Nagaradhyaksha,2,4
100,Nikita Dhotre,prabhag 2,,,Nagaradhyaksha,2,4
101,Nikita Dhotre,prabhag 3,,,Nagaradhyaksha,2,7
102,Nikita Dhotre,prabhag 4,,,Nagaradhyaksha,2,4
103,Nikita Dhotre,prabhag 5,,,Nagaradhyaksha,2,1
104,Nikita Dhotre,prabhag 6,,,Nagaradhyaksha,2,1
105,Nikita Dhotre,prabhag 7,,,Nagaradhyaksha,2,0
106,Nikita Dhotre,prabhag 8,,,Nagaradhyaksha,2,1
107,Nikita Dhotre,prabhag 9,,,Nagaradhyaksha,2,3
