Name,Prabhag,SeatDesignation,Party,Election_type,Round,Votes
Abhijit Jagtap,prabhag 1,,SS-UBT,Nagaradhyaksha,1,24
Abhijit Jagtap,prabhag 2,,SS-UBT,Nagaradhyaksha,1,16
Abhijit Jagtap,prabhag 3,,SS-UBT,Nagaradhyaksha,1,13
Abhijit Jagtap,prabhag 4,,SS-UBT,Nagaradhyaksha,1,6
Abhijit Jagtap,prabhag 5,,SS-UBT,Nagaradhyaksha,1,7
Abhijit Jagtap,prabhag 6,,SS-UBT,Nagaradhyaksha,1,26
Abhijit Jagtap,prabhag 7,,SS-UBT,Nagaradhyaksha,1,25
Abhijit Jagtap,prabhag 8,,SS-UBT,Nagaradhyaksha,1,18
Abhijit Jagtap,prabhag 9,,SS-UBT,Nagaradhyaksha,1,22
Abhijit Jagtap,prabhag 10,,SS-UBT,Nagaradhyaksha,1,45
Abhijit Jagtap,prabhag 11,,SS-UBT,Nagaradhyaksha,1,35
Abhijit Jagtap,prabhag 1,,SS-UBT,Nagaradhyaksha,2,22
Abhijit Jagtap,prabhag 2,,SS-UBT,Nagaradhyaksha,2,19
Abhijit Jagtap,prabhag 3,,SS-UBT,Nagaradhyaksha,2,11
Abhijit Jagtap,prabhag 4,,SS-UBT,Nagaradhyaksha,2,3
Abhijit Jagtap,prabhag 5,,SS-UBT,Nagaradhyaksha,2,7
Abhijit Jagtap,prabhag 6,,SS-UBT,Nagaradhyaksha,2,23
Abhijit Jagtap,prabhag 7,,SS-UBT,Nagaradhyaksha,2,19
Abhijit Jagtap,prabhag 8,,SS-UBT,Nagaradhyaksha,2,11
Abhijit Jagtap,prabhag 9,,SS-UBT,Nagaradhyaksha,2,22
Abhijit Jagtap,prabhag 10,,SS-UBT,Nagaradhyaksha,2,41
Abhijit Jagtap,prabhag 11,,SS-UBT,Nagaradhyaksha,2,17
Abhijit Jagtap,prabhag 1,,SS-UBT,Nagaradhyaksha,3,29
Abhijit Jagtap,prabhag 2,,SS-UBT,Nagaradhyaksha,3,
Abhijit Jagtap,prabhag 3,,SS-UBT,Nagaradhyaksha,3,6
Abhijit Jagtap,prabhag 4,,SS-UBT,Nagaradhyaksha,3,9
Abhijit Jagtap,prabhag 5,,SS-UBT,Nagaradhyaksha,3,8
Abhijit Jagtap,prabhag 6,,SS-UBT,Nagaradhyaksha,3,21
Abhijit Jagtap,prabhag 7,,SS-UBT,Nagaradhyaksha,3,18
Abhijit Jagtap,prabhag 8,,SS-UBT,Nagaradhyaksha,3,17
Abhijit Jagtap,prabhag 9,,SS-UBT,Nagaradhyaksha,3,
Abhijit Jagtap,prabhag 10,,SS-UBT,Nagaradhyaksha,3,42
Abhijit Jagtap,prabhag 11,,SS-UBT,Nagaradhyaksha,3,24
Abhijit Jagtap,prabhag 1,,SS-UBT,Nagaradhyaksha,4,
Abhijit Jagtap,prabhag 2,,SS-UBT,Nagaradhyaksha,4,
Abhijit Jagtap,prabhag 3,,SS-UBT,Nagaradhyaksha,4,
Abhijit Jagtap,prabhag 4,,SS-UBT,Nagaradhyaksha,4,7
Abhijit Jagtap,prabhag 5,,SS-UBT,Nagaradhyaksha,4,15
Abhijit Jagtap,prabhag 6,,SS-UBT,Nagaradhyaksha,4,26
Abhijit Jagtap,prabhag 7,,SS-UBT,Nagaradhyaksha,4,10
Abhijit Jagtap,prabhag 8,,SS-UBT,Nagaradhyaksha,4,
Abhijit Jagtap,prabhag 9,,SS-UBT,Nagaradhyaksha,4,
Abhijit Jagtap,prabhag 10,,SS-UBT,Nagaradhyaksha,4,
Abhijit Jagtap,prabhag 11,,SS-UBT,Nagaradhyaksha,4,18
Anandikaki Jagtap,prabhag 1,,BJP,Nagaradhyaksha,1,337
Anandikaki Jagtap,prabhag 2,,BJP,Nagaradhyaksha,1,341
Anandikaki Jagtap,prabhag 3,,BJP,Nagaradhyaksha,1,349
Anandikaki Jagtap,prabhag 4,,BJP,Nagaradhyaksha,1,775
Anandikaki Jagtap,prabhag 5,,BJP,Nagaradhyaksha,1,334
Anandikaki Jagtap,prabhag 6,,BJP,Nagaradhyaksha,1,344
Anandikaki Jagtap,prabhag 7,,BJP,Nagaradhyaksha,1,334
Anandikaki Jagtap,prabhag 8,,BJP,Nagaradhyaksha,1,282
Anandikaki Jagtap,prabhag 9,,BJP,Nagaradhyaksha,1,340
Anandikaki Jagtap,prabhag 10,,BJP,Nagaradhyaksha,1,317
Anandikaki Jagtap,prabhag 11,,BJP,Nagaradhyaksha,1,429
Anandikaki Jagtap,prabhag 1,,BJP,Nagaradhyaksha,2,314
Anandikaki Jagtap,prabhag 2,,BJP,Nagaradhyaksha,2,317
Anandikaki Jagtap,prabhag 3,,BJP,Nagaradhyaksha,2,257
Anandikaki Jagtap,prabhag 4,,BJP,Nagaradhyaksha,2,220
Anandikaki Jagtap,prabhag 5,,BJP,Nagaradhyaksha,2,264
Anandikaki Jagtap,prabhag 6,,BJP,Nagaradhyaksha,2,321
Anandikaki Jagtap,prabhag 7,,BJP,Nagaradhyaksha,2,301
Anandikaki Jagtap,prabhag 8,,BJP,Nagaradhyaksha,2,224
Anandikaki Jagtap,prabhag 9,,BJP,Nagaradhyaksha,2,350
Anandikaki Jagtap,prabhag 10,,BJP,Nagaradhyaksha,2,295
Anandikaki Jagtap,prabhag 11,,BJP,Nagaradhyaksha,2,360
Anandikaki Jagtap,prabhag 1,,BJP,Nagaradhyaksha,3,324
Anandikaki Jagtap,prabhag 2,,BJP,Nagaradhyaksha,3,
Anandikaki Jagtap,prabhag 3,,BJP,Nagaradhyaksha,3,324
Anandikaki Jagtap,prabhag 4,,BJP,Nagaradhyaksha,3,276
Anandikaki Jagtap,prabhag 5,,BJP,Nagaradhyaksha,3,223
Anandikaki Jagtap,prabhag 6,,BJP,Nagaradhyaksha,3,349
Anandikaki Jagtap,prabhag 7,,BJP,Nagaradhyaksha,3,319
Anandikaki Jagtap,prabhag 8,,BJP,Nagaradhyaksha,3,219
Anandikaki Jagtap,prabhag 9,,BJP,Nagaradhyaksha,3,
Anandikaki Jagtap,prabhag 10,,BJP,Nagaradhyaksha,3,343
Anandikaki Jagtap,prabhag 11,,BJP,Nagaradhyaksha,3,327
Anandikaki Jagtap,prabhag 1,,BJP,Nagaradhyaksha,4,
Anandikaki Jagtap,prabhag 2,,BJP,Nagaradhyaksha,4,
Anandikaki Jagtap,prabhag 3,,BJP,Nagaradhyaksha,4,
Anandikaki Jagtap,prabhag 4,,BJP,Nagaradhyaksha,4,204
Anandikaki Jagtap,prabhag 5,,BJP,Nagaradhyaksha,4,260
Anandikaki Jagtap,prabhag 6,,BJP,Nagaradhyaksha,4,413
Anandikaki Jagtap,prabhag 7,,BJP,Nagaradhyaksha,4,261
Anandikaki Jagtap,prabhag 8,,BJP,Nagaradhyaksha,4,
Anandikaki Jagtap,prabhag 9,,BJP,Nagaradhyaksha,4,
Anandikaki Jagtap,prabhag 10,,BJP,Nagaradhyaksha,4,
Anandikaki Jagtap,prabhag 11,,BJP,Nagaradhyaksha,4,115
Nikita Dhotre,prabhag 1,,,Nagaradhyaksha,1,4
Nikita Dhotre,prabhag 2,,,Nagaradhyaksha,1,3
Nikita Dhotre,prabhag 3,,,Nagaradhyaksha,1,4
Nikita Dhotre,prabhag 4,,,Nagaradhyaksha,1,1
Nikita Dhotre,prabhag 5,,,Nagaradhyaksha,1,2
Nikita Dhotre,prabhag 6,,,Nagaradhyaksha,1,0
Nikita Dhotre,prabhag 7,,,Nagaradhyaksha,1,0
